País,PIB_per_capita,Acceso_Salud,Nivel_Educativo,Tasa_Empleo_Femenino,Edad_Maternidad,Urbanizacion,Tasa_Natalidad
País_1,25599.706536604936,51.57145928433671,14.630474692314316,32.58408605843039,21.54685803253899,71.88970284118471,38.61340924506884
País_2,57289.28685254539,81.82052056318902,6.262099474925733,56.567731578407404,33.5382936001935,62.165781980647225,19.211763820598335
País_3,45259.66679962728,65.71779905381634,7.424430711419206,57.031756080505325,27.578785586717856,48.571656977179664,26.55689087697902
País_4,37926.216630837014,75.42853455823514,18.478312827906187,61.87149507491033,32.39686199161612,78.82770118241692,29.17717193953724
País_5,13581.02522433401,95.37832369630465,14.09643589489385,66.30456668613309,24.800744015459177,71.08387035323275,40.0
País_6,13579.698618491146,62.464611457443745,5.137955774249445,78.79260397312673,33.432848427443005,39.75701636069348,38.38724762903176
País_7,8194.59866925097,70.51914615178148,6.5220731429904815,55.81501741505977,25.838025181012448,84.65563106963054,40.0
País_8,52639.68801762143,87.77755692715243,14.952526536620837,46.147823647062296,20.162564772204476,79.35223457539014,29.66887202782851
País_9,38061.32564587648,61.43990827458112,5.07592375769328,69.75930973843518,33.58072964628896,86.98799479751544,35.63027414397073
País_10,43943.9917787825,53.84899549143965,7.4121207712624795,43.54161256310371,21.369300151792004,73.5431705033016,34.610472981773135
País_11,6132.147186269134,64.4875726456884,13.231006840498791,51.9485710352818,24.789704563856223,66.80491175614739,40.0
País_12,58345.04186890969,58.06106436270022,15.378427965390399,33.922819067113295,34.25092950576207,55.09458217743713,13.057745066179308
País_13,50784.34524402319,96.48488261712865,14.779418892539008,31.267537170772876,34.25910720406334,85.9637090012408,24.59227702560733
País_14,16678.65108730519,90.40601897822086,8.364039641908397,78.13242073389625,28.601568321849292,81.9638333700245,40.0
País_15,15000.373196390534,81.67018782552117,15.682688320213037,71.79900602561028,29.47755818254699,32.713120206371364,35.717750163081575
País_16,15087.24804193886,93.57302950938589,8.558736312452002,64.7987103046849,26.726682829674797,31.58201846983512,38.17005191360373
País_17,21733.323362774576,90.18360384495573,9.880995472389015,50.44764722071349,24.39816157547097,52.58780201268297,38.98218061946519
País_18,33861.60373977308,59.32850294430179,16.197371076770363,38.66471600354229,24.92996818054874,78.63319984690997,30.73427195707304
País_19,28756.976025316366,94.62794992449889,14.74449348570822,37.8218521335543,30.087776841155577,89.23656775889667,34.75339216178922
País_20,21017.602710892304,76.96711209578254,17.73835115741267,42.512144908229764,31.2856179415652,39.02501346621169,33.316850045501816
País_21,38651.90920973087,90.37200775820313,14.86419338450515,57.46133323530603,31.873685655887726,65.6478429211281,32.443581886597954
País_22,12672.1623358623,94.80456499617466,13.524629050032074,65.72979613500311,31.84427214191831,52.85345139786129,40.0
País_23,21067.955669436997,65.90017374859319,6.405121517421387,63.009868835886564,21.368091545730355,88.19486386887618,40.0
País_24,25149.901381153042,55.50259622638384,10.515737045891502,43.99669484729714,27.41630457053872,80.52713538814251,40.0
País_25,30083.849131936975,61.39675812709709,8.978035515225882,77.7432640331597,20.863381400249665,80.29972228266827,40.0
País_26,48184.67787661575,71.35538943131282,8.659844650686253,66.89484583478843,28.242933234856032,58.12158958769822,29.741193372945872
País_27,15982.058018709786,90.90073829612466,19.595158321286682,57.717702625570034,26.622957520600657,54.88917014025991,39.31271384160623
País_28,33282.89411274864,93.03652916281717,10.896465870001407,60.58603731171761,33.31556274137449,46.40442431584238,26.860239525077397
País_29,37582.80128741234,50.34760652655954,18.3806983276567,50.980003121389494,25.263725188281178,33.382529799055625,21.624140895291163
País_30,7554.772699599875,75.53736512887829,14.467079389958943,42.386549475057876,21.756005246414087,81.8833425753032,40.0
País_31,38414.966854579114,70.87055015743894,16.922169553124725,47.79863393256308,22.144875230792536,78.77406054780465,33.66540210362539
País_32,14378.826802801033,61.105390523536514,12.539556396577883,67.89230552321845,31.42265947576208,89.98306039716783,40.0
País_33,8577.837614190374,55.99326836668414,13.653558269395386,30.719674431487793,29.273270949743917,89.79821022443431,40.0
País_34,57188.704548933325,66.8807585701814,12.38776540728296,35.80363202534581,21.516840141841854,63.32590233615765,21.013345694964844
País_35,58109.761819100764,97.14548519562595,7.928644816970667,32.30013210108764,21.26160209172496,76.13924491083063,29.767870061915957
País_36,49461.85414640536,66.16014660103777,15.83678172892258,32.03644011594851,30.5145369718868,86.68594379294568,27.564882206260034
País_37,21753.75730453539,75.9395310871683,9.211585436612836,72.77302920055035,21.091445095462902,80.97884344064468,40.0
País_38,10371.966270351113,85.15094794475888,5.364739496471808,65.18289296900119,32.32790088935534,44.84088610459186,40.0
País_39,42632.81645816863,68.1814801189647,14.682084438607518,53.70869145436626,30.593633407347443,57.03264811860561,25.91428512011269
País_40,29208.387155678072,98.58910413604804,7.656660191105734,34.89170803255007,21.220231709628496,37.7495649090897,31.80520789243142
País_41,11712.102916462834,98.12236474710556,19.106878765293715,54.58079375584162,21.272565711277878,87.24306163552333,40.0
País_42,32234.73005611986,62.58911479126821,19.308928655038812,53.67358853902829,34.799593677517635,66.3704780670528,30.409434091352317
País_43,6891.368661337012,74.86242529461927,18.72296585330673,38.66009349550076,25.614061936341805,43.71856833020776,38.66562565210729
País_44,55012.62211433301,65.04391549083849,10.552380503831666,51.69258246189865,25.559632206003364,70.30204106435141,25.397147791575247
País_45,19232.898988000932,64.24202471887338,5.231849247933011,49.92523671986867,32.19199350886254,67.08769442747375,39.376825027900466
País_46,41438.725639469005,51.84434736772664,18.92477843881588,60.79250490261082,34.208728660757885,51.48976308197043,20.110442962968285
País_47,22144.1091849176,80.47821669899484,11.422762224759715,61.75468254338219,34.790015957343066,36.81345553197774,33.496623217238806
País_48,33603.741164779596,75.13395116144308,19.499822285655043,32.265200488602225,31.300672778884124,70.29439173556798,32.80207801938571
País_49,35069.06536388038,52.57393756249947,19.45429965633879,48.73063073132356,25.643893782963737,61.2184620542276,28.126850866015896
País_50,15166.995053903987,63.93232321183057,17.7951418320104,61.292995785711824,21.25251075048003,76.33910350413836,40.0
País_51,58327.15452705072,95.41329429833269,9.416733381043786,55.15681292900439,31.65720373891155,61.209810066719605,18.639159020706433
País_52,47632.3052848613,61.978094533348624,10.776465929028879,72.82449205941612,28.376063746037076,81.1308900191124,31.297252148076844
País_53,56672.4417860304,57.24474360456115,17.767050072752852,62.93468158094725,26.363330138704644,63.114410326469134,20.883561390717436
País_54,54215.50427352069,74.47263801387815,9.753830077344166,38.14672135407149,33.59531577642104,63.656278292123176,17.986387206298044
País_55,37884.49883460968,99.28252270553003,7.542391200291387,33.52843737002149,21.66796223459227,82.5992161595007,37.93078233010355
País_56,55703.082926271425,62.10276357557502,13.352018936875252,62.12096391031578,27.389376564362887,54.208971972743825,19.840155126378534
País_57,9867.087612855572,83.60677737029393,19.042321612411715,31.32556552708109,20.170304671511285,38.04091370703844,40.0
País_58,15779.057433052985,88.08098076643589,15.440446950124596,59.28877906367316,27.029909629911895,31.726960578800337,36.1371761867093
País_59,7487.500890079594,61.881877199619986,13.550917551340474,77.01151207124788,20.84454913522756,75.30823534041714,40.0
País_60,22893.168191979537,86.41081743059297,6.457647406561528,58.77370889379395,21.782268744021078,67.21857308120788,40.0
País_61,26377.25093292151,68.38915663596266,14.225108400487546,49.4084963103261,21.762893701656573,72.24478608595342,39.898659349651325
País_62,19924.196747564274,81.61529152967897,19.85080775156395,62.16441092211766,29.738154531740953,42.777849690534644,35.49637551684841
País_63,50580.56300335612,81.67648553804473,7.1012602285478605,52.91264452457583,31.19067318898135,38.18228853520618,20.91356037001449
País_64,24621.432968147412,76.78873420373793,12.77494478545605,57.280839465796745,28.750531476457397,30.872679940072917,29.42904378705793
País_65,20451.39803280594,54.51448850272041,18.160596078919333,77.07324043882626,34.43258822711813,51.03525352839582,35.222867406782406
País_66,34848.28457370367,91.7651247794619,16.111529266313067,49.30513189003871,25.62305869285556,65.39506121127798,34.44316926482951
País_67,12750.832373611946,66.0390032485868,15.45523611492902,78.05952819119571,24.28568129422791,53.53464270598394,40.0
País_68,49120.833941472185,59.32592551999271,15.53726125980664,75.26753209780318,33.0289869228419,56.248495321423746,24.127083848725903
País_69,9100.285402387395,52.0387570777382,10.392367268296328,39.78955673946482,23.35393757779179,84.2495216696249,40.0
País_70,59278.78151302845,79.5446471594121,9.4038776639674,33.46806504375827,34.44833809160917,50.89532802139802,14.982346344332719
País_71,47473.46231131616,83.87821809211411,17.140417332177705,35.038900068871335,20.182317120347246,60.83936934958865,25.175230648234816
País_72,15929.362484379482,50.829391446392805,17.15170092018771,30.911091282577488,34.548182400614586,77.01918076446859,34.50089836126909
País_73,5303.716441798132,75.60465291496405,18.006084778701556,34.72214803779642,20.647398679258643,53.79256693927621,40.0
País_74,49850.378565015875,61.3247887598969,18.698608288347067,64.15033867081785,33.367146705471065,67.32520201367241,22.757899041391443
País_75,43877.15391161894,82.25863952047249,12.670135982914067,33.55943242301145,27.915516636294498,81.74182252480472,30.526376681874115
País_76,45095.394242254304,58.718321450249576,12.522744420307994,45.948781514688065,34.894471941789504,86.97123741945853,26.42873596703739
País_77,47419.86906772701,84.5468869051233,16.974427684501627,72.24376554847274,21.106948471030982,38.82440885574228,26.910706168820994
País_78,9072.45584537497,69.33676731502686,14.749458961666477,31.16359678679129,28.30781426601981,85.59525750968967,40.0
País_79,24715.615069934993,96.83649943683673,15.52950315886555,70.72342412944678,34.53953803428649,59.52697758477229,34.5591508328341
País_80,11372.798273882134,56.87604720729966,16.936890041541517,44.09273873866999,27.846467662552232,45.4946632979375,36.39547415324994
País_81,52470.68842315764,67.05331755251292,18.350080127263496,35.90824138108281,29.440979572028937,57.54814537429568,17.335922961590764
País_82,39281.39697551569,55.67367606202946,10.069927352773037,64.83685826820754,30.436230334769256,88.80195451712862,36.45908221190493
País_83,23199.391366895707,96.23468091392814,10.63374428959916,61.4471423389942,26.818115971516598,59.55708563957218,38.13642767516005
País_84,8495.7092657313,93.86696766904905,6.4097290976130346,73.87360067635265,29.41337120126095,49.72509661725049,40.0
País_85,22104.027694361423,62.89708138575778,13.67420211494261,66.75355219019428,28.764714678846502,68.00405125900355,40.0
País_86,22885.08271147109,82.99920230170895,5.539134106951131,70.17404651924244,33.51737015736484,44.408737126691584,34.88240167171297
País_87,45128.339808593526,90.8611100100608,11.983970271986902,44.101728628565326,20.681695705121868,34.551799686519836,26.491708185837016
País_88,40065.66092453672,77.76004057997312,13.13966952061365,38.87197718898614,24.214447843883455,37.73278331463895,23.092385432116988
País_89,53796.70084169796,76.48252891780032,9.298118781924266,67.53073758204292,34.25617226114838,37.682750337466345,18.533359995527675
País_90,30971.82088390721,62.092614545022585,13.862498908535162,70.3417369633632,33.35395675836374,39.11416161073766,31.418504766103627
País_91,11577.683526606594,54.65513839029496,5.457503749085742,79.52525710003366,26.834851291785693,38.32963035896461,39.83164424761984
País_92,44228.46329726472,94.86078789766634,5.5602228312382165,50.630883845571326,29.30198896702305,68.45248468819287,28.726501829739405
País_93,46843.17767392936,95.02090285816652,17.339008409894873,48.60090428963916,24.16071774471699,40.91280506394869,23.493145463823105
País_94,35870.24586632229,81.65507286366339,10.402859621168943,68.82064803709984,22.82181739585642,50.740036999431794,34.15709191407032
País_95,47403.194897500856,66.95148955243504,6.905907689778272,47.040177012650894,26.95547607409973,83.80730459436072,32.95666257414607
País_96,32158.75780004149,67.46047873063304,12.833648900822066,76.53786628017824,25.30028342039079,58.437698415772346,35.55374065727789
País_97,33750.305616009675,86.29778394351197,16.54990329647916,72.9206375921506,28.754841677763082,70.05346431126162,35.25839156058306
País_98,28514.75600972023,94.85551299762886,8.237315412452649,51.44970136875092,21.166019554474772,40.33919227209779,35.589871714677194
País_99,6398.051970925235,94.35432121325587,14.343357137285004,67.54355338957487,34.6159221149925,41.53734112852025,40.0
País_100,10934.028484631745,88.99377729288119,6.2802119749065195,67.72714370423412,34.79316116719404,32.45211697598873,39.02432103383874
